"ID","goal","enddate","startdate","coinNum","teamSize","country_region","categories","overallrating","ratingTeam","ratingProduct","platform","acceptingCurrencyNum","whitepaper","video","socialMedia","GitHub","teamLinkedIn","teamPhotos","CEOPhoto","bitcoin.price","continent_region","duration"
851,"Y",2018-03-31,2018-03-01,2.6e+08,18,"Netherlands","Artificial Intelligence,Platform",3.9,3.4,3.4,"NEO","2",1,1,3,1,0.78,1,0,9040.557097,"Europe",30
852,"N",2018-03-26,2018-03-05,50031000,18,"Slovenia","Platform,Investment,Cryptocurrency,Business services,Smart Contract",3.9,3.9,3.7,"Ethereum","1",1,1,1,1,0.94,1,0,9018.195446,"Europe",21
853,"N",2018-06-10,2018-04-01,187500000,8,"Cayman Island","Cryptocurrency",2.5,0,0,"Ethereum","4",1,0,0,0,0.75,1,0,8145.314776,"Americas",70
854,"N",2017-10-31,2017-09-07,0,2,"UK","Real estate",2.1,0,0,"Ethereum","unknown",1,0,0,0,1,1,0,4742.61108,"Europe",54
855,"Y",2018-03-14,2018-02-07,8.4e+07,6,"USA","Software",2,3,1.2,"Ethereum","3",1,0,0,0,0,1,0,9896.083103,"Americas",35
856,"Y",2018-02-10,2018-02-01,28672000,18,"Singapore","Banking",3.3,0,0,"Ethereum","1",1,0,3,1,0.72,1,0,8340.825049,"Asia",9
857,"N",2018-01-16,2017-12-01,0,10,"South Africa","Cryptocurrency",2.9,4,4,"Ethereum","1",1,1,0,1,0.4,1,0,15118.37658,"Africa",46
858,"N",2017-11-04,2017-10-04,70000,5,"Australia","Charity",1.9,0,0,"Ethereum","1",0,0,0,0,1,1,0,5670.787491,"Oceania",31
859,"Y",2017-09-11,2017-09-11,7.5e+07,9,"USA","Investment,Platform",3.3,2.5,2.5,"Ethereum","2",1,0,3,1,0.56,1,1,4161.27002,"Americas",0
860,"N",2017-09-22,2017-09-08,2.8e+08,3,"Russia","Communication",2.4,0,0,"Ethereum","1",1,0,0,0,1,1,0,3860.711328,"Europe",14
861,"Y",2017-10-28,2017-10-21,1e+08,21,"USA","Internet,Cryptocurrency,Artificial Intelligence,Investment,Platform",4.7,4.5,3.9,"Ethereum","1",1,1,0,1,0.9,1,0,5835.824951,"Americas",7
862,"Y",2018-03-31,2018-02-13,400,7,"South Africa","Artificial Intelligence,Cryptocurrency,Investment,Smart Contract",2.6,0,0,"Ethereum","3",1,0,0,1,1,1,1,9468.266196,"Africa",46
863,"N",2018-05-22,2018-03-12,5.7e+08,10,"USA","Communication,Internet,Media",3.5,0,0,"Ethereum","4",1,1,2,1,0.58,1,0,8359.052341,"Americas",71
864,"N",2017-12-25,2017-11-25,0,2,"Russia","Platform,Business services",1.5,0,0,"Ethereum","1",1,0,0,0,0,0,0,14320.43964,"Europe",30
865,"Y",2018-05-10,2018-04-17,300,40,"Slovenia","Artificial Intelligence,Platform,Retail",4.5,4.6,4.2,"Ethereum","1",1,1,2,1,0.93,1,0,9122.663737,"Europe",23
866,"Y",2018-01-15,2018-01-15,5.5e+07,15,"Romania","Platform,Communication",3.8,4,3.4,"Ethereum","2",1,1,3,1,1,1,0,13819.79981,"Europe",0
867,"Y",2018-06-01,2018-02-21,3e+09,23,"USA","Health",3.6,0,0,"Ethereum","5",1,0,3,1,0.96,1,1,8641.109404,"Americas",100
868,"Y",2017-09-06,2017-09-06,6e+06,7,"UK","Entertainment",3.1,3,4,"Ethereum","1",1,1,2,1,0.89,0.5,1,4597.120117,"Europe",0
869,"Y",2018-02-10,2018-01-15,1e+07,9,"UK","Education,Platform",2.3,1.8,1.5,"Ethereum","2",1,1,0,0,0.11,1,0,10293.68712,"Europe",26
870,"Y",2018-04-30,2018-04-16,2.1e+08,21,"Costa Rica","Smart Contract,Platform,Entertainment,Cryptocurrency,Casino & Gambling,Software,Sports",4.8,4.8,4.8,"Ethereum","3",1,1,3,1,1,1,1,8847.543294,"Americas",14
871,"Y",2018-01-16,2018-01-16,2.01e+08,23,"Liechtenstein","Platform,Business services,Infrastructure",4,4.5,3.3,"Ethereum","1",1,1,0,1,1,1,0,11490.5,"Europe",0
872,"Y",2018-01-01,2017-11-30,1.5e+08,9,"USA","Platform,Banking,Infrastructure",3.4,3.4,3.3,"Ethereum","1",1,1,0,0,0.44,1,1,15091.3091,"Americas",32
873,"Y",2018-05-05,2018-03-16,3.1e+09,23,"Philippines","Communication",3.2,2.9,3.1,"Ethereum","5",1,1,0,1,0.96,1,1,8223.854301,"Asia",50
874,"Y",2016-09-15,2016-08-23,80000,1,"Switzerland","Platform,Cryptocurrency,Business services",1.3,2.4,2.4,"BitShares","unknown",0,1,0,0,0,0,0,595.5389124,"Europe",23
875,"N",2017-12-09,2017-11-10,0,13,"UK","Cryptocurrency,Business services,Banking",2.8,3,3,"Ethereum","1",1,1,0,1,1,1,0,9688.958301,"Europe",29
876,"Y",2017-09-29,2017-09-11,462500000,12,"Russia","Platform,Cryptocurrency",1.5,0,0,"unknown","1",0,0,0,0,0,1,0,3850.792095,"Europe",18
